listing_number,price,beds,baths,sq_ft,description,key_details,walkscore
11838792,499000,1,1,316,"A true “Jewelry Box” in a premier location in the heart of the South End yet steps from Back Bay! This rear facing residence includes in unit laundry & an exclusive use private outdoor space. There is a stunning kitchen with full sized appliances; beautiful natural sunlight streaming through the oversized windows & is quiet as it is rear facing. A few of the best features include gas heating & central air. Low association fee includes heat & hot water. A premier location close to trendy restaurants, cozy cafes, chic boutiques & Back Bay Train Station. Pet friendly & 100% move in ready.","Clock: 4 days on Redfin; Condo: Condo; Wrench: Built in 1899; Fence: 316 sq ft lot; Ruler: $1,579 per sq ft; High end tour: $263 monthly HOA fee; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); Agent: 2% buyer's agent fee; New construction: Boston",Walk: 99/100 Walker's Paradise; Transit: 98/100 Rider's paradise; Bike: 91/100 Biker's paradise
9126677,715000,4,1.5,2086,"Welcome to this large, light-filled Colonial home situated on West Street. This charming residence features 5 bedrooms & 1.5 bathrooms, along w/ a multi-car garage, making it ideal for families and those who enjoy spacious living. Step inside to discover elegant hardwood flooring & detailed molding throughout. French doors open into the inviting living room, which boasts a cozy wood-burning fireplace flanked by built-in bookcases perfect for curling up with a good book. The living room with glass sliding doors provides a tranquil space w/ views of the outdoors, leading directly to the deck surrounded by mature landscaping. Pocket doors lead to the dining room, which features a delightful window bench & a built-in hutch, adding character and charm. The spacious eat-in kitchen includes a pantry and an enclosed porch, offering additional room for relaxation. With abundant closet space throughout, this home is designed for convenience and comfort. Make this beautiful Colonial your own!","Clock: 6 days on Redfin; House: Single-family; Wrench: Built in 1920; Fence: 8,742 sq ft lot; Ruler: $343 per sq ft; Car: 3 garage spaces (7 total); Washer: In-unit laundry (washer and dryer); Agent: 2% buyer's agent fee; New construction: Hyde Park",Walk: 77/100 Very Walkable; Transit: 58/100 Good transit; Bike: 58/100 Bikeable
146050784,648000,2,1,1359,"Perched atop Millmont Street in the heart of Fort Hill, this two bedroom condo leaves nothing to be desired. Upon entering, you'll be greeted by beautiful hardwood floors and open concept living and dining, perfect for hosting. Tall ceilings and large windows make the space feel bright and airy. Quartz countertops span the exterior of the oversized kitchen, finished out by modern maple cabinets and stainless steel appliances. Sit on your front porch and enjoy your city views of the Hancock. Unit is equipped with in unit washer/dryer, and includes deeded off street parking. Nearby to Nubian Square and close proximity to all major neighborhoods in Boston, including the South End, Back Bay, downtown, and JP - only a walk or bike ride away and easily accessible by public transit including the Orange Line. Local shops, restaurants, library, and bookstores are all at your fingertips in this prime location.",Clock: 2 hours on Redfin; Condo: Condo; Wrench: Built in 2006; Ruler: $477 per sq ft; High end tour: $214 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; New construction: Roxbury's Fort Hill,Walk: 66/100 Somewhat Walkable; Transit: 88/100 Excellent transit; Bike: 62/100 Bikeable
9309926,659000,2,1,993,Location Location Location! This beautiful 2 bedroom one bath unit features stunning views into the Arnold Arboretum from both its front balcony as well as it's multi windowed livingroom. Live surrounded by greenery out all your windows leading back to your beautiful landscaped rear garden area featuring a 12 x 12 foot crushed marble fire pit area for entertaining. This unit has a formal dining area with a built in hutch. Original woodwork is in great condition and not painted over. Large eat in kitchen along with a large food pantry with washer /dryer hook ups in place as well as an option to hook up in basement if preferred. New furnace and hot water heater in 2023.,"Clock: 4 hours on Redfin; Condo: Condo; Wrench: Built in 1926; Fence: 4,690 sq ft lot; Ruler: $664 per sq ft; High end tour: $300 monthly HOA fee; Washer: Washer and dryer hookups; New construction: Jamaica Plain",Walk: 79/100 Very Walkable; Transit: 80/100 Excellent transit; Bike: 71/100 Very bikeable
9001765,599000,2,2,1052,"Magnificent water & city views from this penthouse corner 2-bed, 2-bath brownstone in Chelsea’s Historic Waterfront District! The open floor plan is filled with natural light, featuring a kitchen island with stainless steel appliances, Quartz counters and PogenPoll cabinets. The living room has exposed brick, a wood burning fireplace, high ceilings and a slider leading to a private deck offering unobstructed views of The Boston . The primary bedroom includes an ensuite bath and lots of natural light, while the second bedroom is spacious with its own fireplace. Additional features include Massport-rated windows & sliding doors, tiled bathrooms, hardwood floors & exposed beams.This pet-friendly building comes with basement storage, one assigned parking spot, and nearby residential permit and metered parking. Steps from Polonia Dog Park, the waterfront path, M. O'Malley Park, public transportation, Tobin Bridge, 111 Express to Boston, commuter rail. Location Location, Views!","Clock: 5 hours on Redfin; Condo: Condo; Wrench: Built in 1900; Fence: 5,000 sq ft lot; Ruler: $569 per sq ft; High end tour: $360 monthly HOA fee; Car: 1 parking space; Washer: In-unit laundry (washer and dryer); New construction: Chelsea",Walk: 88/100 Very Walkable | Transit: 57/100 Good transit | Bike: 54/100 Bikeable
192436931,775000,2,2,1511,"Welcome to Oliver lofts! In the heart of the city, this stunning loft style penthouse offers the luxury and convenience of urban living. This two-level unit boasts two spacious bedrooms and two full bathrooms, making it perfect for both professionals and small families. The open concept living space creates a loft-like feel, with high ceilings and ample natural light. The private patio awaits your al fresco dining gatherings. The bonus room provides additional space that can be used as a home office, guest room, or den – the possibilities are endless. This condo also comes with not one, but two garage spaces – a rare find in Boston. And with its prime location, this condo is perfect for those commuting to Longwood Medical Area, The Fenway, and downtown! Don't miss your chance to own this rarely available, urban chic, loft style penthouse.","Clock: 6 hours on Redfin; Condo: Condo; Wrench: Built in 1900; Fence: 1,511 sq ft lot; Ruler: $513 per sq ft; High end tour: $987 monthly HOA fee; Car: 2 garage spaces (4 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Mission Hill",Walk: 76/100 Very Walkable | Transit: 87/100 Excellent transit | Bike: 73/100 Very bikeable
147822100,1899998,2,2,1668,"Stunning Lewis Wharf 2-bedroom + den residence featuring harbor views, exposed brick and beam, a private terrace, and a wood-burning fireplace. With an open floor plan perfect for entertaining, this home was newly renovated in 2019 with upgraded finishes, smart home appliances, and new windows throughout. The gourmet kitchen boasts a double oven, ample storage, and a separate dining area equipped with a beverage fridge and bar. The primary bedroom has ample closet space with a luxurious bath, a large soaking tub, separate stall shower and linen closet. The second bedroom offers a spacious bath and closet. A third bonus room serves as an office, den or guest room with cedar closet and abundant storage. Enjoy the convenience of in-unit laundry and all utilities included in the monthly condo fees. The residence offers 24-hour concierge service, a heated outdoor pool, elevator access, and a beautifully maintained garden/green space. *Sellers to include one-year of paid parking to buyers*","Clock: 9 hours on Redfin; Condo: Condo; Wrench: Built in 1868; Ruler: $1,139 per sq ft; High end tour: $1,601 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Waterfront",Walk: 99/100 Walker's Paradise | Transit: 100/100 Rider's paradise | Bike: 80/100 Very bikeable
9201071,690000,2,2,1258,"Welcome to this stunning large condo located in the desirable Newfield Woods complex! This top-floor corner unit boasts treetop views of the conservation area. Step inside to an expansive open living and dining area, featuring a skylight that fills the space with natural light, perfect for entertaining. There is also a small balcony off the living room to sit outside. Cozy up by the wood-burning fireplace during cooler months.The renovated white kitchen is complete with stainless steel appliances & a stylish new backsplash. Retreat to the king-sized primary bedroom, which includes a fully renovated en-suite bathroom and a spacious walk-in closet. The second bedroom features a wall of south-facing windows, ensuring plenty of sunlight throughout the day. Convenience is key with an additional lovely bathroom off the hall and in-unit laundry for easy living. Enjoy the comfort and style this condo has to offer including a garage space, pet friendly & extra storage—schedule a viewing today.",Clock: 9 hours on Redfin; Condo: Condo; Wrench: Built in 1989; Ruler: $548 per sq ft; High end tour: $577 monthly HOA fee; Car: 1 garage spaces (2 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: West Roxbury,Walk: 19/100 Car-Dependent | Transit: 32/100 Some transit | Bike: 28/100 Somewhat bikeable
9173360,899000,5,2,2104,"Rarely available two-family home with a fully functional two-car garage and hillside views of Holy Name Church. Commuting is a breeze with the Bellevue commuter rail stop just at the bottom of the hill - 20 minutes to Back Bay and 30 minutes to South station. Property offers high ceilings and beautiful hardwood floors throughout and the interior has been freshly painted. First floor unit is completely move-in ready. Long driveway leads up to garage and offers parking for at least 4 additional vehicles. Adorable back yard is level and just enough space without having the burden of too much upkeep. Conveniently located on the West Roxbury line with easy access to Centre St restaurants, shops and supermarkets. Close to both the Arnold Arboretum and bustling Roslindale Village with its fabulous, year-round farmer's market. Don't miss out on this fantastic opportunity to live in one unit and rent out the other in this wonderful neighborhood!","Clock: 11 hours on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1915; Fence: 5,500 sq ft lot; Ruler: $427 per sq ft; Car: 2 garage spaces (6 total); New construction: Roslindale",Walk: 80/100 Very Walkable | Transit: 52/100 Good transit | Bike: 63/100 Bikeable
9021718,995000,4,2,2096,"Outstanding investment opportunity in a highly desirable location. This 2 family property is located in walking distance to Brighton Center. The location has easy access to the Mass Pike, Storrow Drive, the express bus, and commuter rail. Each floor is spacious and features a living room, dining room, eat-in kitchen, 2 bedrooms and 1 bath. Both floors have porches, front & rear. There's also a large backyard, plenty of parking, and a detached two car garage. Whether you're an investor looking to add to your rental portfolio, a developer or an owner occupant looking to build equity, this is the property for you. Home being sold ""as is"".","Clock: 11 hours on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1925; Fence: 6,079 sq ft lot; Ruler: $475 per sq ft; Car: 2 garage spaces (8 total); New construction: Brighton",Walk: 67/100 Somewhat Walkable | Transit: 58/100 Good transit | Bike: 77/100 Very bikeable
